# 泰深输入法 — 常用词表（V0.2.30）
# 格式: pinyin<TAB>word，行序 = 优先级（越靠前越先出候选）
# 说明: 独立于 system_dict.db 加载，命中即出候选，不受词频分档影响。
#       拼音与用户实际输入习惯一致；声母索引由引擎自动展开（hd→好的）。
# 维护: Eric 可直接增删行，下次启动生效。

# ── 单字高频（口语/书面） ──
wo	我
ni	你
ta	他
hao	好
en	嗯
mei	没
shi	是
shi	时
shi	使
shi	事
shi	市
shi	十
bu	不
le	了
zai	在
you	有
he	和
jiu	就
dou	都
ye	也
hen	很
shuo	说
xiang	想
kan	看
qu	去
lai	来
shang	上
xia	下
da	大
xiao	小
duo	多
shao	少
ge	个
men	们
dao	到
zhe	这
na	那
yao	要
hui	会
neng	能
zuo	做
rang	让
gei	给
de	的
di	地
de	得
zhe	着
zhi	之
zhi	只
zhi	直
zhi	知
zhi	制
a	啊
ya	呀
ba	吧
ma	吗
ne	呢
hai	还
cai	才
gang	刚
zhen	真
ting	听
wen	问
xie	写
du	读
zou	走
pao	跑
chi	吃
he	喝
wan	玩
shui	睡
zhu	住
mai	买
mai	卖
yong	用
kao	考
xue	学
jin	进
chu	出
hui	回
jia	家
qi	其
qi	起
qi	气
qi	七
qi	期
qi	骑
tian	天
nian	年
yue	月
ri	日
shen	身
shen	甚
shen	神
shen	深
shen	伸
shen	沈
xin	心
shou	手
jiao	脚
tou	头
lian	脸
yan	言
yan	眼
yan	盐
yan	烟
yan	沿
yan	演
yan	掩
er	耳
bi	鼻
zui	嘴

# ── 双字高频（口语/书面） ──
shehui	社会
shanghai	上海
shihou	时候
shenghuo	生活
women	我们
nimen	你们
tamen	他们
keyi	可以
meiyou	没有
shenme	什么
zenme	怎么
weishenme	为什么
danshi	但是
yinwei	因为
suoyi	所以
ranhou	然后
buguo	不过
ruguo	如果
suiran	虽然
zhidao	知道
xiexie	谢谢
bukeqi	不客气
duibuqi	对不起
meiguanxi	没关系
nihao	你好
zaijian	再见
gaosu	告诉
juede	觉得
xihuan	喜欢
ganjue	感觉
shijian	时间
difang	地方
dongxi	东西
pengyou	朋友
tongxue	同学
laoshi	老师
baba	爸爸
mama	妈妈
gongzuo	工作
shenghuo	生活
xuexi	学习
wenti	问题
fangfa	方法
ziji	自己
bieren	别人
dajia	大家
qishi	其实
zhende	真的
queshi	确实
dangran	当然
xianzai	现在
yihou	以后
yiqian	以前
haode	好的
zhege	这个
nage	那个
name	那么
zheme	这么
yidian	一点
yixia	一下
gangcai	刚才
turan	突然
yijing	已经
jintian	今天
mingtian	明天
zuotian	昨天
mingbai	明白
zhuyi	注意
kaishi	开始
jieshu	结束
jixu	继续

# ── 多音字/生僻字首位修正（0.1.31 首字检查产出）──
